x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
194.97,2433.53,1,0,0,0,CD8
196.81,2511.03,0,0,0,0,CD8
195.97,2831.82,1,0,0,0,CD8
202.80,3293.07,1,0,0,0,CD8
198.24,3401.11,1,0,0,0,CD8
199.82,3729.83,1,0,0,0,CD8
198.56,2681.05,0,0,0,0,CD8
198.38,3236.04,1,0,0,0,CD8
199.09,1995.04,1,0,0,0,CD8
197.23,2917.76,1,0,0,0,CD8
201.03,2124.65,0,0,0,0,CD8
201.92,2593.22,0,0,0,0,CD8
204.33,2969.87,1,0,0,0,CD8
206.93,3271.22,1,0,0,0,CD8
202.51,81.56,0,0,0,0,CD8
207.07,3647.42,1,0,0,0,CD8
206.83,2500.88,0,0,0,0,CD8
206.38,710.32,0,0,0,0,CD8
205.68,1300.79,1,0,1,0,CD8
201.55,1386.35,1,0,1,0,CD8
208.61,2158.98,0,0,0,0,CD8
207.40,2664.13,0,0,0,0,CD8
204.67,2799.34,1,0,0,0,CD8
207.69,3748.35,1,0,0,0,CD8
206.81,3002.81,0,0,0,0,CD8
209.95,4049.23,1,0,1,0,CD8
208.23,804.28,1,0,1,0,CD8
212.22,1714.38,1,0,1,0,CD8
209.04,2020.85,1,0,0,0,CD8
212.17,3138.53,0,0,0,0,CD8
209.30,395.05,0,0,0,0,CD8
212.01,1412.20,1,0,1,0,CD8
210.15,2099.85,0,0,0,0,CD8
210.35,2566.28,0,0,0,0,CD8
209.35,2917.62,1,0,0,0,CD8
209.58,2952.11,1,0,0,0,CD8
212.60,3019.06,1,0,0,0,CD8
212.52,3668.56,1,0,0,0,CD8
216.26,4064.08,1,0,1,0,CD8
218.04,2647.54,0,0,0,0,CD8
212.97,560.51,0,0,0,0,CD8
214.27,2633.60,0,0,0,0,CD8
211.85,2700.62,1,0,0,0,CD8
215.68,126.32,0,0,0,0,CD8
216.84,431.78,0,0,0,0,CD8
217.72,3722.18,1,0,0,0,CD8
217.44,2122.23,0,0,0,0,CD8
220.45,2586.49,0,0,0,0,CD8
215.72,109.86,0,0,0,0,CD8
219.61,1422.97,1,0,1,0,CD8
220.10,2084.07,0,1,0,0,CD8
219.98,2106.20,0,0,0,0,CD8
222.16,2616.42,0,0,0,0,CD8
222.06,475.91,0,0,0,0,CD8
220.56,510.58,1,0,0,0,CD8
221.69,2364.58,0,0,0,0,CD8
220.39,2603.28,1,0,0,0,CD8
224.06,2666.33,1,0,0,0,CD8
221.49,3123.76,0,0,0,0,CD8
225.39,3347.62,1,0,0,0,CD8
220.55,3372.47,1,0,0,0,CD8
221.84,3743.93,1,0,0,0,CD8
227.14,603.26,0,0,0,0,CD8
224.30,3642.06,1,0,0,0,CD8
230.76,2478.43,1,0,0,0,CD8
225.18,3192.75,1,0,0,0,CD8
230.72,2569.94,0,0,0,0,CD8
231.76,494.04,0,0,1,0,CD8
230.05,2067.02,0,0,0,0,CD8
229.13,2956.20,1,0,0,0,CD8
225.62,3611.77,1,0,0,0,CD8
228.03,3077.14,1,0,0,0,CD8
230.92,1322.24,1,0,1,0,CD8
229.19,3584.39,1,0,0,0,CD8
230.20,3627.71,1,0,0,0,CD8
229.34,4079.18,1,0,0,0,CD8
230.61,2633.89,0,0,0,0,CD8
234.67,3571.16,1,0,0,0,CD8
232.82,3117.73,0,0,0,0,CD8
236.26,2121.29,0,0,0,0,CD8
236.96,2735.87,1,0,0,0,CD8
236.80,3136.21,0,0,0,0,CD8
237.17,160.02,0,0,0,0,CD8
241.97,529.82,0,0,0,0,CD8
237.58,618.38,0,0,0,0,CD8
238.25,2148.27,0,0,0,0,CD8
239.31,2611.50,1,0,0,0,CD8
238.72,2685.55,1,0,0,0,CD8
240.24,2591.46,0,0,0,0,CD8
244.10,578.58,0,0,0,0,CD8
238.52,2197.84,0,0,0,0,CD8
243.77,3737.62,1,0,0,0,CD8
241.40,2490.33,0,0,0,0,CD8
243.82,2633.32,0,0,0,0,CD8
249.08,511.20,0,0,0,0,CD8
245.84,719.63,0,0,0,0,CD8
244.56,1325.05,1,0,1,0,CD8
244.82,1995.19,0,0,0,0,CD8
244.20,4079.64,1,0,1,0,CD8
248.47,122.44,0,0,0,0,CD8
250.96,50.96,0,0,0,0,CD8
249.99,271.07,0,0,0,0,CD8
250.87,550.35,0,1,0,0,CD8
251.29,3099.72,1,0,0,0,CD8
248.86,3339.59,1,0,0,0,CD8
252.44,809.39,1,0,0,0,CD8
251.02,2569.23,0,0,0,0,CD8
252.22,3406.96,1,0,0,0,CD8
250.48,1793.66,1,0,0,0,CD8
248.21,3135.88,0,0,0,0,CD8
251.16,193.18,0,0,0,0,CD8
254.95,2545.42,0,0,0,0,CD8
254.06,2595.19,0,0,0,0,CD8
255.91,2684.54,1,0,0,0,CD8
254.50,2613.31,0,0,0,0,CD8
258.41,2054.31,0,0,0,0,CD8
254.79,2158.34,0,0,0,0,CD8
256.58,2218.08,0,0,0,0,CD8
256.72,3458.37,1,0,0,0,CD8
266.59,522.54,0,0,0,0,CD8
262.55,696.67,0,0,0,0,CD8
261.36,3349.30,1,0,0,0,CD8
261.85,1684.72,1,0,0,0,CD8
260.97,1802.10,1,0,0,0,CD8
260.80,2075.57,0,0,0,0,CD8
261.59,2228.93,0,0,0,0,CD8
263.10,121.01,0,0,1,0,CD8
263.92,673.10,0,0,0,0,CD8
265.09,3038.56,1,0,0,0,CD8
268.74,2092.18,0,0,0,0,CD8
266.50,812.24,1,0,0,0,CD8
276.62,799.93,1,0,0,0,CD8
268.35,2490.95,0,0,0,0,CD8
273.07,2569.57,1,0,0,0,CD8
272.16,427.92,0,0,0,0,CD8
269.98,4073.95,1,0,1,0,CD8
282.14,565.47,0,0,0,0,CD8
278.82,537.42,0,0,1,0,CD8
272.36,549.58,0,0,0,0,CD8
269.53,604.32,0,0,0,0,CD8
273.86,2332.88,0,0,0,0,CD8
271.84,2508.91,0,0,0,0,CD8
271.15,3531.56,1,0,0,0,CD8
269.55,3695.37,1,0,0,0,CD8
272.90,3851.32,1,0,0,0,CD8
274.16,3955.42,1,0,0,0,CD8
275.35,2600.49,0,0,0,0,CD8
282.28,2556.58,1,0,0,0,CD8
271.74,857.00,1,0,0,0,CD8
274.36,1985.34,0,0,0,0,CD8
275.68,2524.85,0,0,0,0,CD8
276.80,3093.57,1,0,0,0,CD8
272.73,3354.49,1,0,0,0,CD8
273.52,3714.89,1,0,0,0,CD8
281.15,1964.39,0,0,0,0,CD8
276.47,3127.29,1,0,0,0,CD8
277.64,2195.33,0,0,0,0,CD8
275.67,3375.81,1,0,0,0,CD8
282.30,649.13,0,0,0,0,CD8
281.51,3605.43,1,0,0,0,CD8
281.10,4007.57,1,0,0,0,CD8
289.88,3115.81,1,0,0,0,CD8
280.51,679.91,0,0,0,0,CD8
280.96,883.91,1,0,1,0,CD8
285.13,2495.65,0,0,0,0,CD8
283.93,2696.40,1,0,0,0,CD8
281.97,3056.39,1,0,0,0,CD8
285.90,3383.60,1,0,0,0,CD8
282.62,3570.54,1,0,0,0,CD8
285.38,4417.57,1,0,1,0,CD8
287.59,600.64,0,0,0,0,CD8
287.56,3147.04,1,0,0,0,CD8
288.55,526.32,0,0,0,0,CD8
284.49,3359.34,1,0,0,0,CD8
284.00,5.00,0,0,0,0,CD8
285.97,41.50,0,0,0,0,CD8
287.64,2540.90,0,0,0,0,CD8
289.86,73.00,0,0,0,0,CD8
290.27,2593.39,1,0,0,0,CD8
290.91,2477.53,0,0,0,0,CD8
291.13,2515.91,0,0,0,0,CD8
293.03,1890.62,1,0,0,0,CD8
